date,open,high,low,close,volume
2014-11-13,25.816,25.816,25.4169,25.466,7588
2014-11-14,25.77,25.9268,25.4954,25.9072,54434
2014-11-17,25.7405,25.7896,25.2993,25.353,32142
2014-11-18,25.3973,25.3973,25.113,25.1522,4551
2014-11-19,25.0051,25.0051,24.5149,24.5937,8558
2014-11-20,24.4658,24.7469,24.4658,24.5834,7529
2014-11-21,25.2895,25.2895,24.6913,25.0737,25570
2014-11-24,25.0345,25.0345,24.8286,24.9561,8138
2014-11-25,24.9822,24.9822,24.8403,24.857,29356
2014-11-26,24.7305,24.9266,24.711,24.9265,3920
2014-11-28,24.9168,24.9168,24.6815,24.7108,9662
2014-12-01,24.505,24.505,23.7303,23.7794,17939
2014-12-02,24.0735,24.0735,23.9338,23.9853,5054
2014-12-03,24.0049,24.1029,23.9755,24.0147,8104
2014-12-04,24.0245,24.0245,23.7794,23.7794,2963
2014-12-05,23.6715,23.7274,23.5734,23.5881,19621
2014-12-08,24.4363,24.4363,22.8478,22.9154,21689
2014-12-09,22.5536,23.0829,22.3869,23.0635,12441
2014-12-10,22.9262,22.9262,22.4359,22.4359,7369
2014-12-11,22.0739,22.7791,22.0739,22.4654,14283
2014-12-12,22.3869,22.6026,22.2695,22.3957,8103
2014-12-15,22.5438,22.6026,22.1614,22.2645,6952
2014-12-16,21.9947,22.132,21.8231,21.8378,13209
2014-12-17,21.8182,22.0996,21.8182,22.0996,2094
2014-12-18,22.4457,22.7007,22.4457,22.6025,9470
2014-12-19,22.8478,23.142,22.8478,23.142,10689
2014-12-22,23.0537,23.0537,22.9076,22.9262,7447
2014-12-23,22.8478,22.8478,22.5928,22.5928,6093
2014-12-24,22.5536,22.7203,22.5536,22.6419,1817
2014-12-26,22.8968,22.8968,22.812,22.8664,4611
2014-12-29,22.8478,22.8478,22.5163,22.5163,3252
2014-12-30,22.4359,22.4931,22.3157,22.3967,6830
2014-12-31,22.7203,22.7203,22.2344,22.2344,10675
2015-01-02,22.3967,22.6712,22.3967,22.6712,4025
2015-01-05,22.7988,22.8087,22.583,22.6124,5803
2015-01-06,22.7693,22.9174,22.6801,22.8772,2958
2015-01-07,23.1322,23.24,23.1224,23.1322,4655
2015-01-08,23.3381,23.6028,23.322,23.5734,8352
2015-01-09,23.6519,23.6519,23.495,23.5354,13291
2015-01-12,23.5146,23.5146,22.9164,22.9939,41688
2015-01-13,23.3185,23.3185,22.7791,22.8674,15888
2015-01-14,22.633,22.7978,22.6073,22.789,18388
2015-01-15,23.2498,23.2498,22.5242,22.5242,12321
2015-01-16,22.3967,22.6526,22.13,22.6517,2938
2015-01-20,22.8576,22.887,22.6909,22.887,8351
2015-01-21,23.1616,23.3185,23.142,23.2008,7422
2015-01-22,23.1518,23.3557,23.1508,23.3479,3776
2015-01-23,23.3479,23.5759,23.3479,23.5538,1988
2015-01-26,23.6813,23.8009,23.6505,23.6715,19496
2015-01-27,23.3871,24.3089,23.2891,23.5377,18886
2015-01-28,23.7107,23.7686,23.3381,23.3577,9656
2015-01-29,23.0929,23.1519,22.7595,22.9411,6279
2015-01-30,22.4359,22.6997,22.4359,22.6222,5066
2015-02-02,22.7203,22.7203,22.4555,22.6728,7327
2015-02-03,22.8282,23.0831,22.7988,23.0831,15709
2015-02-04,23.0831,23.3283,23.0831,23.142,10881
2015-02-05,23.1528,23.191,23.1125,23.1616,10777
2015-02-06,22.9655,22.9948,22.7899,22.8282,6171
2015-02-09,22.6811,22.6811,22.5144,22.583,9464
2015-02-10,22.5634,22.5732,22.4065,22.5732,20825
2015-02-11,22.4555,22.5587,22.4555,22.534,5345
2015-02-12,22.4555,22.5681,22.3964,22.5681,4994
2015-02-13,22.6026,22.789,22.6026,22.7286,5963
2015-02-17,22.8478,22.8575,22.6821,22.8478,3859
2015-02-18,22.9174,23.0047,22.9174,22.9851,2915
2015-02-19,22.7693,22.8969,22.7693,22.838,6549
2015-02-20,22.7595,22.9065,22.7595,22.9065,2595
2015-02-23,22.8968,22.9066,22.7203,22.7291,3674
2015-02-24,22.7331,22.7719,22.7115,22.768,9495
2015-02-25,22.6811,22.7203,22.5769,22.5769,4797
2015-02-26,22.6473,22.6473,22.6124,22.6291,2099
2015-02-27,22.6418,22.6418,22.0633,22.4536,7956
2015-03-02,22.3673,22.3673,22.279,22.328,4409
2015-03-03,22.4173,22.4173,22.2398,22.2594,2134
2015-03-04,22.279,22.3869,22.2594,22.3477,4069
2015-03-05,22.6321,22.7202,22.5732,22.7102,2954
2015-03-06,22.6124,22.657,22.54,22.54,2635
2015-03-09,22.4261,22.4262,22.1502,22.1519,4027
2015-03-10,21.8868,21.8868,21.6613,21.7789,6811
2015-03-11,21.7397,21.7836,21.6809,21.7691,4051
2015-03-12,21.8956,21.8956,21.7887,21.8182,1594
2015-03-13,21.7103,21.7103,21.5534,21.622,2090
2015-03-16,21.7299,21.7299,21.6024,21.6417,2191
2015-03-17,21.5436,21.8562,21.5436,21.8562,3245
2015-03-18,21.8745,22.18,21.828,22.1038,5414
2015-03-19,22.2594,22.2594,22.19,22.23,2446
2015-03-20,22.4654,22.7007,22.4654,22.647,2806
2015-03-23,22.7301,23.0439,22.7301,23.0439,957
2015-03-24,22.9655,23.0164,22.9655,23.0164,346
2015-03-25,22.8574,22.8574,22.7282,22.7282,3060
2015-03-26,22.4654,22.6123,22.4654,22.5438,2394
2015-03-27,22.7104,22.7104,22.7104,22.7104,192
2015-03-30,23.0733,23.0733,22.8166,22.8705,2198
2015-03-31,20.6218,23.0046,20.6218,22.9655,4104
2015-04-01,23.0733,23.1515,23.0733,23.1223,1315
2015-04-02,23.2077,23.2595,23.2077,23.2399,824
2015-04-06,23.394,23.5813,23.394,23.4951,1594
2015-04-07,23.6126,23.6126,23.5362,23.5362,984
2015-04-08,24.0245,24.5638,24.0245,24.5344,3885
2015-04-09,24.7599,24.9168,24.6618,24.8109,4010
2015-04-10,24.7599,24.8483,24.6815,24.6815,2717
2015-04-13,24.9953,25.0932,24.8385,24.8385,4732
2015-04-14,24.7305,24.7305,24.4756,24.7305,1657
2015-04-15,24.6521,24.966,24.6521,24.966,4707
2015-04-16,25.1424,25.3384,25.1424,25.2797,4992
2015-04-17,24.809,24.809,24.5443,24.6413,9225
2015-04-20,24.7403,24.7599,24.7403,24.7599,1125
2015-04-21,25.0247,25.1914,25.0247,25.1817,957
2015-04-22,25.4292,25.5238,25.4292,25.5219,8925
2015-04-23,25.6523,25.76,25.6523,25.7209,1685
2015-04-24,25.8484,26.0151,25.8484,25.9396,4981
2015-04-27,26.1426,26.4241,26.1426,26.1524,21481
2015-04-28,26.2504,26.2504,25.8974,26.0053,2767
2015-04-29,25.819,25.8923,25.7503,25.8386,2616
2015-04-30,25.676,25.7405,25.4562,25.4954,1743
2015-05-01,25.3973,25.4268,25.368,25.3777,3297
2015-05-04,25.4856,25.76,25.4856,25.7404,6477
2015-05-05,25.6817,25.6817,25.26,25.2875,3659
2015-05-06,25.2502,25.2502,24.8192,24.858,3787
2015-05-07,25.0246,25.0541,24.8384,25.0541,4756
2015-05-08,25.3091,25.3846,25.2404,25.3483,4374
2015-05-11,25.4361,25.4954,25.4071,25.4954,1604
2015-05-12,25.2698,25.2698,25.0159,25.0541,15719
2015-05-13,25.2993,25.4659,25.2993,25.3973,9798
2015-05-14,25.6327,25.7667,25.6033,25.6622,3660
2015-05-15,25.6621,25.7111,25.4954,25.7111,3368
2015-05-18,25.5934,25.6425,25.5444,25.6327,5336
2015-05-19,25.7503,25.77,25.5264,25.5867,7041
2015-05-20,25.6229,26.3387,25.4846,25.6033,15957
2015-05-21,25.3777,25.7601,25.3777,25.7601,4262
2015-05-22,25.9367,26.2308,25.9367,26.1818,10240
2015-05-26,26.0739,26.1318,25.6425,25.6621,9188
2015-05-27,25.5346,25.6033,25.466,25.5748,7571
2015-05-28,25.162,25.2502,25.0051,25.2502,5359
2015-05-29,25.3091,25.3091,25.0541,25.0541,2101
2015-06-01,25.211,25.4741,25.211,25.4473,8003
2015-06-02,25.3287,25.5444,25.2993,25.5207,3716
2015-06-03,25.4169,25.6572,25.4169,25.6327,13499
2015-06-04,25.3581,25.3777,25.2208,25.3061,2206
2015-06-05,25.2993,25.7503,25.2993,25.7503,3164
2015-06-08,25.917,26.0244,25.6397,25.6397,1289
2015-06-09,25.5542,25.6327,25.4464,25.5444,2012
2015-06-10,25.7013,25.9657,25.6131,25.917,10720
2015-06-11,25.9072,26.1225,25.9072,26.0249,4119
2015-06-12,26.0739,26.476,25.9661,26.476,9276
2015-06-15,26.2308,26.2308,25.9759,25.9759,7023
2015-06-16,25.8778,25.9071,25.7994,25.8778,7387
2015-06-17,26.0445,26.3975,26.0445,26.3334,6459
2015-06-18,26.2701,26.2799,26.0935,26.1845,7044
2015-06-19,26.221,26.221,25.8048,25.8048,8658
2015-06-22,26.172,26.172,25.6869,25.6869,6261
2015-06-23,25.7209,25.9857,25.7209,25.9759,7751
2015-06-24,26.1132,26.123,25.9169,25.9268,6306
2015-06-25,25.9661,25.9661,25.7601,25.8177,6496
2015-06-26,25.6523,25.6523,25.1259,25.2306,8346
2015-06-29,24.7894,24.7894,24.4363,24.456,7188
2015-06-30,24.8776,24.9756,24.6815,24.907,4082
2015-07-01,25.1228,25.1228,24.8294,24.8413,6474
2015-07-02,24.858,24.858,24.6884,24.6884,2176
2015-07-06,24.3187,24.3187,23.3675,23.495,7860
2015-07-07,23.0929,23.0929,21.8182,22.7595,25687
2015-07-08,21.6809,22.4949,21.622,22.3428,11323
2015-07-09,23.4754,23.8088,23.4754,23.5342,11146
2015-07-10,24.0441,24.0441,23.6323,23.7303,23069
2015-07-13,23.8774,24.1608,23.8774,24.1422,26274
2015-07-14,23.9264,24.1828,23.9264,24.1127,11801
2015-07-15,23.8186,23.8284,23.4361,23.4656,16633
2015-07-16,23.7401,23.9657,23.7401,23.9657,7359
2015-07-17,24.3579,24.3971,24.2449,24.3187,8999
2015-07-20,24.1716,24.3088,24.1582,24.2061,3546
2015-07-21,24.201,24.4265,24.201,24.348,1657
2015-07-22,24.2489,24.2624,24.2489,24.2501,1460
2015-07-23,24.0735,24.3873,24.0735,24.1618,3742
2015-07-24,24.1226,24.1226,23.6921,23.7401,8460
2015-07-27,23.1125,23.1125,22.6222,22.8674,17456
2015-07-28,22.6028,22.6909,22.5145,22.671,8258
2015-07-29,22.7399,23.039,22.7399,23.039,6289
2015-07-30,22.6615,22.7595,22.5732,22.6517,6140
2015-07-31,22.7105,22.7105,22.475,22.4938,4213
2015-08-03,22.2624,22.2832,22.0889,22.0889,15190
