date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2013-08-26,0.55,0.0,0.408,135.45,135.6,"Aug 26, 13",134.15,134.88,7685996,7685996,134.8343
2013-08-27,1.3,0.009597637504614334,0.96,136.75,137.55,"Aug 27, 13",136.52,136.94,11248825,11248825,136.9745
2013-08-28,-0.04,0.009302325581395493,-0.029,136.71,137.46,"Aug 28, 13",136.66,137.21,13650418,13650418,137.0578
2013-08-29,-0.84,0.0031007751937985675,-0.614,135.87,136.55,"Aug 29, 13",135.42,136.12,7940577,7940577,135.94
2013-08-30,-1.25,-0.006127722406792057,-0.92,134.62,135.71,"Aug 30, 13",134.44,134.65,7698123,7698123,134.9921
2013-09-03,1.8,0.007161314138058317,1.337,136.42,136.789,"Sep 3, 13",135.025,135.46,8100663,8100663,135.8934
2013-09-04,-1.76,-0.005832410483573216,-1.29,134.66,134.84,"Sep 4, 13",133.72,134.61,7784378,7784378,134.3128
2013-09-05,-2.46,-0.023994093761535624,-1.827,132.2,134.35,"Sep 5, 13",131.8,134.13,11118578,11118578,132.6453
2013-09-06,1.95,-0.009597637504614124,1.475,134.15,134.4,"Sep 6, 13",133.33,133.42,8448842,8448842,133.9661
2013-09-09,-0.24,-0.01136950904392759,-0.179,133.91,134.32,"Sep 9, 13",133.67,134.13,5079726,5079726,133.9881
2013-09-10,-2.17,-0.027390180878552824,-1.62,131.74,132.0,"Sep 10, 13",131.11,131.82,8432445,8432445,131.6427
2013-09-11,-0.04,-0.027685492801771874,-0.03,131.7,131.81,"Sep 11, 13",131.26,131.58,5048208,5048208,131.6031
2013-09-12,-4.03,-0.057438169066075954,-3.06,127.67,128.78,"Sep 12, 13",127.61,128.62,12933893,12933893,128.2852
2013-09-13,0.15,-0.05633074935400514,0.117,127.82,127.96,"Sep 13, 13",126.21,127.16,12058670,12058670,127.1199
2013-09-16,-1.37,-0.06644518272425239,-1.072,126.45,128.02,"Sep 16, 13",126.335,127.48,9982799,9982799,127.1285
2013-09-17,0.05,-0.06607604282022879,0.04,126.5,126.99,"Sep 17, 13",126.11,126.81,8123304,8123304,126.5506
2013-09-18,5.51,-0.025396825396825383,4.356,132.01,132.16,"Sep 18, 13",125.15,125.32,24807119,24807119,129.127
2013-09-19,-0.26,-0.027316352897748166,-0.197,131.75,132.78,"Sep 19, 13",131.22,132.0,14339052,14339052,131.9506
2013-09-20,-3.79,-0.055297157622738985,-2.877,127.96,130.91,"Sep 20, 13",127.9,130.6,19418837,19418837,128.9762
2013-09-23,-0.41,-0.058324104835732686,-0.32,127.55,128.44,"Sep 23, 13",127.33,127.52,7421818,7421818,127.8849
2013-09-24,0.11,-0.05751199704688072,0.086,127.66,128.21,"Sep 24, 13",126.34,126.4,7349709,7349709,127.1849
2013-09-25,1.13,-0.04916943521594682,0.885,128.79,129.21,"Sep 25, 13",127.52,127.57,7453621,7453621,128.5487
2013-09-26,-1.0,-0.056552233296419216,-0.776,127.79,128.99,"Sep 26, 13",127.32,128.6097,9491371,9491371,127.8895
2013-09-27,1.18,-0.04784053156146172,0.923,128.97,129.58,"Sep 27, 13",128.84,128.86,7426781,7426781,129.172
2013-09-30,-0.79,-0.053672942045034935,-0.613,128.18,129.14,"Sep 30, 13",127.7,127.95,8979473,8979473,128.3642
2013-10-01,-3.59,-0.08017718715393124,-2.801,124.59,125.26,"Oct 1, 13",123.81,125.25,16706123,16706123,124.5765
2013-10-02,2.47,-0.061941675895164174,1.983,127.06,127.81,"Oct 2, 13",125.34,125.37,11994176,11994176,126.8423
2013-10-03,0.12,-0.061055740125507435,0.094,127.18,127.69,"Oct 3, 13",126.22,126.77,11605023,11605023,127.1171
2013-10-04,-0.65,-0.0658545588778146,-0.511,126.53,127.15,"Oct 4, 13",126.0,127.05,6923661,6923661,126.4942
2013-10-07,1.11,-0.05765965300849014,0.877,127.64,128.33,"Oct 7, 13",127.12,127.25,6733028,6733028,127.7231
2013-10-08,-0.24,-0.059431524547803496,-0.188,127.4,128.45,"Oct 8, 13",127.21,127.79,6989904,6989904,127.8644
2013-10-09,-1.29,-0.06895533407161307,-1.013,126.11,126.89,"Oct 9, 13",124.97,126.21,10705582,10705582,125.7853
2013-10-10,-1.84,-0.0825396825396825,-1.459,124.27,125.83,"Oct 10, 13",124.1,125.34,10509660,10509660,125.3622
2013-10-11,-1.67,-0.09486895533407158,-1.344,122.6,122.81,"Oct 11, 13",121.85,122.37,15967801,15967801,124.7125
2013-10-14,0.23,-0.09317091177556287,0.188,122.83,124.24,"Oct 14, 13",122.81,123.9,6115415,6115415,123.4418
2013-10-15,0.9,-0.08652639350313758,0.733,123.73,124.36,"Oct 15, 13",122.22,122.28,8372589,8372589,123.1853
2013-10-16,-0.19,-0.08792912513842734,-0.154,123.54,123.89,"Oct 16, 13",122.51,123.52,8523879,8523879,123.2317
2013-10-17,3.88,-0.059283868586194076,3.141,127.42,127.86,"Oct 17, 13",126.81,127.01,11770228,11770228,127.3196
2013-10-18,-0.57,-0.06349206349206346,-0.447,126.85,127.33,"Oct 18, 13",126.6,126.87,5342200,5342200,126.966
2013-10-21,0.13,-0.06253229974160196,0.102,126.98,127.3356,"Oct 21, 13",126.79,127.13,3374873,3374873,127.0757
2013-10-22,2.36,-0.04510889627168686,1.859,129.34,129.81,"Oct 22, 13",128.22,128.25,8849245,8849245,129.4207
2013-10-23,-0.65,-0.049907715023994034,-0.503,128.69,129.09,"Oct 23, 13",128.35,128.55,5092215,5092215,128.7038
2013-10-24,1.21,-0.04097452934662225,0.94,129.9,130.53,"Oct 24, 13",129.41,129.41,10221736,10221736,130.0341
2013-10-25,0.56,-0.03684016242155763,0.431,130.46,130.92,"Oct 25, 13",129.46,129.53,8768115,8768115,131.2904
2013-10-28,0.1,-0.036101882613510425,0.077,130.56,131.44,"Oct 28, 13",130.1,130.41,6807897,6807897,130.79
2013-10-29,-0.79,-0.04193429309708364,-0.605,129.77,130.59,"Oct 29, 13",129.57,130.1642,5332833,5332833,130.0039
2013-10-30,-0.17,-0.04318936877076408,-0.131,129.6,131.22,"Oct 30, 13",128.81,130.83,8875289,8875289,130.1616
2013-10-31,-1.86,-0.056921373200442923,-1.435,127.74,128.49,"Oct 31, 13",127.3,128.04,7719254,7719254,128.15
2013-11-01,-0.79,-0.06275378368401614,-0.618,126.95,127.17,"Nov 1, 13",126.05,126.86,9566718,9566718,126.6292
2013-11-04,-0.14,-0.0637873754152823,-0.11,126.81,127.52,"Nov 4, 13",126.74,127.18,3808997,3808997,127.0644
