date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2013-08-26,-0.561559,0.0,-0.372,150.3534,151.5309,"Aug 26, 13",150.2538,151.069,89492894,89492894,150.897
2013-08-27,-2.4183,-0.01608410584662527,-1.608,147.9351,150.3556,"Aug 27, 13",147.8264,148.868,158359408,158359408,148.7539
2013-08-28,0.525331,-0.012590337165637762,0.355,148.4604,148.9858,"Aug 28, 13",147.6815,147.8717,107750295,107750295,148.4213
2013-08-29,0.235493,-0.011024027391465699,0.159,148.6959,149.4839,"Aug 29, 13",147.9985,148.1344,119032950,119032950,148.8416
2013-08-30,-0.470988,-0.01415598184011801,-0.317,148.225,149.022,"Aug 30, 13",147.7902,149.0039,134740736,134740736,148.3625
2013-09-03,0.670252,-0.009698483705722684,0.452,148.8952,149.973,"Sep 3, 13",148.2702,149.656,142331733,142331733,148.9628
2013-09-04,1.2318,-0.0015057857022187989,0.827,150.127,150.3806,"Sep 4, 13",148.6642,148.9314,97219175,97219175,149.8385
2013-09-05,0.190207,-0.00024076608842885883,0.127,150.3172,150.7157,"Sep 5, 13",150.1089,150.2176,63023864,63023864,150.4041
2013-09-06,0.072456,0.00024143118812086276,0.048,150.3897,151.2411,"Sep 6, 13",148.9767,150.8154,159700226,159700226,150.3437
2013-09-09,1.4438,0.009843475438533603,0.96,151.8334,151.9204,"Sep 9, 13",150.761,150.761,87408601,87408601,151.4736
2013-09-10,1.1195,0.017289266488153952,0.737,152.9529,152.9801,"Sep 10, 13",152.4004,152.7446,105300853,105300853,152.7081
2013-09-11,0.480044,0.02048241010845115,0.314,153.433,153.433,"Sep 11, 13",152.4819,152.7446,94296092,94296092,153.0218
2013-09-12,-0.407581,0.017771463764703673,-0.266,153.0254,153.5779,"Sep 12, 13",152.8171,153.3786,83134871,83134871,153.2096
2013-09-13,0.34418,0.020060736903854504,0.225,153.3696,153.4873,"Sep 13, 13",152.8352,153.1884,72700859,72700859,153.2446
2013-09-16,0.887629,0.02596416176820756,0.579,154.2572,155.0995,"Sep 16, 13",154.0127,155.0271,126115232,126115232,154.2913
2013-09-17,0.688364,0.030542708046509222,0.446,154.9456,154.9818,"Sep 17, 13",154.3931,154.3931,82269719,82269719,154.7167
2013-09-18,1.7943,0.04247592671665562,1.158,156.7398,157.1646,"Sep 18, 13",154.5018,154.8912,203079713,203079713,155.8203
2013-09-19,-0.263572,0.04072338902878163,-0.168,156.4763,157.2371,"Sep 19, 13",156.3178,157.1646,146510429,146510429,156.7266
2013-09-20,-1.0941,0.03344653330087659,-0.699,155.3822,156.8475,"Sep 20, 13",155.2547,156.8475,132555427,132555427,155.9229
2013-09-23,-0.719023,0.028663801417194372,-0.463,154.6631,155.3185,"Sep 23, 13",154.1717,155.1728,104534720,104534720,152.5495
2013-09-24,-0.364066,0.02624283853906873,-0.235,154.2991,155.2092,"Sep 24, 13",154.0078,154.6358,101097962,101097962,154.6096
2013-09-25,-0.445978,0.023276493913672845,-0.289,153.8531,154.7086,"Sep 25, 13",153.7166,154.3992,117195118,117195118,154.1132
2013-09-26,0.591603,0.027211223690319065,0.385,154.4447,154.8816,"Sep 26, 13",153.8622,154.1079,77036992,77036992,154.2903
2013-09-27,-0.710834,0.02248369508105578,-0.46,153.7339,153.9441,"Sep 27, 13",153.3343,153.6711,98644882,98644882,153.7468
2013-09-30,-0.81823,0.01704118430311532,-0.532,152.9156,153.398,"Sep 30, 13",152.1329,152.4333,143620138,143620138,153.3153
2013-10-01,1.2105,0.025092216072267172,0.792,154.1261,154.2718,"Oct 1, 13",152.8766,153.034,126997489,126997489,154.1003
2013-10-02,-0.145624,0.024123830921016838,-0.094,153.9805,154.1281,"Oct 2, 13",152.7518,153.2251,112859880,112859880,155.0409
2013-10-03,-1.4198,0.014680745496942562,-0.922,152.5607,153.7621,"Oct 3, 13",151.8507,153.6256,176563533,176563533,153.1772
2013-10-04,1.1559,0.022368632834375585,0.758,153.7166,153.8713,"Oct 4, 13",152.4788,152.679,96853649,96853649,153.7314
2013-10-07,-1.3288,0.013530123030141,-0.864,152.3877,153.3161,"Oct 7, 13",152.2239,152.3786,96070316,96070316,153.1565
2013-10-08,-1.7748,0.0017259337002023414,-1.165,150.6129,152.5607,"Oct 8, 13",150.5037,152.3604,178558678,178558678,151.4469
2013-10-09,0.109217,0.0024528876633318113,0.073,150.7222,151.2682,"Oct 9, 13",149.7483,150.9042,168271554,168271554,150.671
2013-10-10,3.2493,0.024063306849063573,2.156,153.9714,154.0533,"Oct 10, 13",152.2057,152.2603,194021164,194021164,153.1684
2013-10-11,0.99207,0.030661760891340116,0.644,154.9635,155.0181,"Oct 11, 13",153.6074,153.7348,104967037,104967037,154.5643
2013-10-14,0.618908,0.03477806288384575,0.399,155.5824,155.7098,"Oct 14, 13",153.8895,154.0078,111901876,111901876,154.192
2013-10-15,-1.1286,0.02727174776227214,-0.725,154.4538,155.7735,"Oct 15, 13",154.2445,155.191,153958055,153958055,155.7699
2013-10-16,2.1571,0.04161861321393459,1.397,156.6109,156.6928,"Oct 16, 13",155.3048,155.3822,161058684,161058684,158.1429
2013-10-17,1.0467,0.04858021168792996,0.668,157.6576,157.7486,"Oct 17, 13",155.9465,155.9738,129004482,129004482,159.2512
2013-10-18,1.0631,0.05565022141168738,0.674,158.7206,158.8317,"Oct 18, 13",157.9215,158.2401,138269996,138269996,159.7337
2013-10-21,0.010919,0.055722717278092936,0.007,158.7315,159.0501,"Oct 21, 13",158.3766,158.7771,104054017,104054017,162.714
2013-10-22,0.919258,0.06183697874474412,0.579,159.6508,160.1241,"Oct 22, 13",158.7554,159.1957,126536379,126536379,159.5379
2013-10-23,-0.764529,0.05675229160098816,-0.479,158.8863,159.1775,"Oct 23, 13",158.3311,159.1047,105370556,105370556,158.8311
2013-10-24,0.527892,0.060263352873962284,0.332,159.4142,159.6144,"Oct 24, 13",158.8317,159.2048,70144619,70144619,159.44
2013-10-25,0.728125,0.06510594372990576,0.457,160.1423,160.1878,"Oct 25, 13",159.4324,159.7418,93571048,93571048,159.8069
2013-10-28,0.254842,0.06680061774459375,0.159,160.3971,160.6156,"Oct 28, 13",159.9147,160.0877,84672528,84672528,161.9936
2013-10-29,0.85555,0.07249121070757303,0.533,161.2527,161.3164,"Oct 29, 13",160.5337,160.7612,87248072,87248072,161.0838
2013-10-30,-0.800941,0.06716376217631258,-0.497,160.4517,161.5621,"Oct 30, 13",159.8783,161.4438,139662588,139662588,161.9449
2013-10-31,-0.455077,0.06413755857865543,-0.284,159.9967,160.9978,"Oct 31, 13",159.76,160.3243,133367094,133367094,160.3575
2013-11-01,0.382267,0.06667956960068741,0.239,160.3789,160.743,"Nov 1, 13",159.4779,160.206,142775416,142775416,161.4645
2013-11-04,0.564299,0.07043272716147421,0.352,160.9432,161.0069,"Nov 4, 13",160.1719,160.8158,85486867,85486867,163.9105
2013-11-05,-0.50969,0.06704271403240643,-0.317,160.4335,160.8704,"Nov 5, 13",159.7964,160.3152,85601525,85601525,161.4218
2013-11-06,0.819142,0.07249121070757303,0.511,161.2527,161.553,"Nov 6, 13",160.6793,161.1253,87129195,87129195,162.0079
2013-11-07,-2.0388,0.058931158191301306,-1.264,159.2139,161.6805,"Nov 7, 13",159.0592,161.553,156202030,156202030,163.5427
2013-11-08,2.148,0.07321749957101069,1.349,161.3619,161.3801,"Nov 8, 13",159.1411,159.1593,136681130,136681130,161.7879
2013-11-11,0.027307,0.07339907178687011,0.017,161.3892,161.5803,"Nov 11, 13",161.016,161.2072,66300304,66300304,161.346
2013-11-12,-0.32766,0.07121954009686514,-0.203,161.0615,161.4256,"Nov 12, 13",160.5246,161.0433,83808745,83808745,161.0532
